ts,o,h,l,c,vol,volCcy,volCcyQuote,confirm
1640969940000,47485.5,47519.9,47443.3,47476.1,12.1487504,576832.566138202,576832.566138202,1
1640969880000,47536.2,47538.7,47432,47485.5,26.707046,1267922.526059382,1267922.526059382,1
1640969820000,47566.8,47566.8,47517.6,47536.2,10.77697535,512220.249532516,512220.249532516,1
1640969760000,47493.3,47570,47466.8,47566.7,24.3305243,1156349.413203086,1156349.413203086,1
1640969700000,47599.4,47599.6,47454,47493.4,24.94119592,1184887.716697903,1184887.716697903,1
1640969640000,47611.4,47640,47582.7,47599.3,13.54038896,644638.411522475,644638.411522475,1
1640969580000,47628.7,47640,47567.5,47611.4,7.97067301,379372.716943596,379372.716943596,1
1640969520000,47596.5,47679.2,47590,47628.7,16.40626892,781421.875912302,781421.875912302,1
1640969460000,47554.1,47655.4,47554.1,47596.5,29.07041431,1384045.376014224,1384045.376014224,1
1640969400000,47865.2,47865.2,47484.6,47553.4,208.34753344,9923902.043164093,9923902.043164093,1
1640969340000,47905.7,47905.7,47860.5,47865.2,1.94635844,93177.254572531,93177.254572531,1
1640969280000,47909.9,47917.1,47905.7,47905.8,0.53004834,25395.604157041,25395.604157041,1
1640969220000,47881.5,47909.9,47874,47909.9,1.52147298,72848.93997672,72848.93997672,1
1640969160000,47908.6,47908.6,47881.4,47881.5,0.75244134,36041.207044149,36041.207044149,1
1640969100000,47889.9,47908.6,47886,47908.6,1.08959387,52185.308928594,52185.308928594,1
1640969040000,47890.6,47890.7,47884.7,47889.9,0.54845803,26264.994598809,26264.994598809,1
1640968980000,47896.9,47899.9,47886,47890.6,2.04357568,97872.713221384,97872.713221384,1
1640968920000,47904.2,47909.9,47891.5,47899.2,2.20606226,105667.628452535,105667.628452535,1
1640968860000,47918.5,47918.6,47904.2,47904.2,0.66861208,32036.151041779,32036.151041779,1
1640968800000,47899.1,47918.6,47894.3,47918.5,1.78374706,85441.549639235,85441.549639235,1
1640968740000,47900,47900,47881.5,47899.2,1.73756517,83217.128475164,83217.128475164,1
1640968680000,47897.2,47899.5,47880,47897.2,3.63661609,174161.535803499,174161.535803499,1
1640968620000,47914.5,47918,47900,47900,1.06973711,51250.54964218,51250.54964218,1
1640968560000,47927.1,47927.2,47900,47911.6,5.00951399,239984.047888308,239984.047888308,1
1640968500000,47969.1,47969.1,47927,47927.1,30.68103805,1471523.451563944,1471523.451563944,1
1640968440000,48023.6,48026.4,47950.1,47969.1,48.39919279,2321977.225596081,2321977.225596081,1
